"","x"
"31"," 롯데백화점 매장에서 판매하는 제주맥주 롯데쇼핑 제공 서울 이유미 기자 롯데백화점은 국내 수제 맥주와 지역 맥주 활성화를 위해 다음 달 일까지 전 점에서 비어 페스티벌 행사를 한다고 일 밝혔다 대표상품으로 은은한 감귤 향의 제주 맥주 캔 를 정상가보다 저렴한 천 원에 국내 최초 캔 제작 수제 맥주로 유명한 해운대 맥주 캔 를 정상가보다 싼 만원에 선보인다 이밖에 허그미 맥주 동빙고 맥주 평창 맥주 등 다양한 지역 수제 맥주를 선보이고 수입 맥주를 할인 판매하는 캔에 만원 행사도 진행한다 롯데백화점은 이달 한 달간 일 매장에서 지역 수제 맥주 매출이 지난해 같은 기간보다 가량 증가했다고 밝혔다 같은 기간 수입 맥주 매출은 올랐고 국산 맥주는 가량 감소했다 롯데백화점 관계자는 최근 다양한 맛과 향의 주류를 찾는 고객이 늘면서 수입 맥주에 이어 지역 맥주와 수제 맥주의 인기가 높아지고 있다 고 말했다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"32"," 신동빈 회장이 일 일본 롯데홀딩스 주주총회에서 재신임을 받았다 롯데지주 출범식에서 신동빈 롯데그룹 회장이 회사 깃발을 흔들며 활짝 웃고 있다 주총은 신동주 전 부회장이 제안한 신동빈 회장의 롯데홀딩스 이사 해임 안건과 신동주 전 부회장의 이사 선임 안건 모두 부결했다 신동주 전 부회장은 신동빈 회장이 지난 월 박근혜 정부 국정농단 사건과 관련 뇌물공여 혐의로 징역 년 개월의 실형을 선고받으며 법정위기를 맞은 틈을 타 맹공을 퍼부었지만 실패로 끝났다 신동빈 회장이 구속수감된 상황에서도 표대결에서 승리한 이유는 경영능력과 실적인 것으로 보인다 한국 롯데를 이끌어온 신동빈 회장은 지난해 한국 롯데 매출 조원 을 일본 롯데 계열사 조 조원 매출의 배 넘게 성장시켰다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
"33"," 지난 일 현지시간 오전 한국 축구대표팀 이용이 베이스캠프인 러시아 상트페테르부르크 로모노소프 스파르타크 스타디움에서 훈련에 앞서 인터뷰를 하고 있다 사진 뉴시스한국 축구 국가대표팀이 러시아 월드컵 조별리그 조 차전 독일을 상대로 몸을 사리지 않는 육탄방어를 선보인 가운데 경기 중 공에 급소를 맞은 수비수 이용 전북 현대 의 건강 상태에 이목이 집중된다 한국은 일 한국 시간 러시아 카잔 아레나에서 열린 러시아 월드컵 조별리그 조 차전에서 세계랭킹 위 독일을 상대로 으로 승리했다 특히 이날 경기에서 몸을 아끼지 않은 이용을 향한 응원이 이어지고 있다 이용은 후반 분 수비 과정에서 독일의 토니 크로스 레알 마드리드 가 찬 공에 급소를 맞고 쓰러졌다 얼굴을 일그러뜨리며 고통을 참은 이용은 의료진의 처치를 받고 힘겹게 일어났다 이용의 육탄방어로 상대의 공을 끊어낸 한국은 그대로 역습해 코너킥 상황까지 만들었다 후반 추가시간 얻은 코너킥 찬스를 놓치지 않은 김영권은 골로 연결 독일을 상대로 선제골을 뽑아냈다 이용은 경기가 끝난 뒤 취재진과의 인터뷰에서 국민들이 많이 걱정도 해주시고 그런 부분으로 좀 유명해진 것 같은데 저는 아무 문제 없다 고 밝혔다 이어 제가 행운의 그거다 이렇게 얘기를 해주시는데 얼마든지 희생할 수 있다 희생으로 승리를 가져온다면 저도 기쁘다 며 뜻하지 않게 거기를 맞아서 이슈가 됐는데 기쁘게 생각하고 있다 고 덧붙였다 류은혁 기자 머니 페이스북 머니 인스타그램 최신 웹툰이 매일 공짜"
"34"," 전남 고영호 기자 가 수입 배급한 영화 신은 죽지 않았다 가 다음달 극장에서 본 상영에 앞서 일 전남 동부지역에서 시사회를 성황리에 마쳤다 신은 죽지 않았다 시사회는 여수 신기동 메가박스에서 첫 시사회를 연 데 이어 순천 이마트 옆 메가박스에서도 시사회를 열었다 시사회에는 지역 목회자와 성도 기관 단체장 등을 초청했다 영화 신은 죽지 않았다 는 캠퍼스 안에 년 간 자리를 지켜온 성 제임스 교회가 갑작스런 화재사고로 전소되고 교회와 동료를 잃은 데이빗 목사가 인생 최대의 위기와 절망을 겪으면서도 신은 죽지 않았다 는 진리를 찾아가는 과정을 담고 있다 신은 죽지 않았다 는 다음달 일 여수 메가박스와 순천 메가박스에서 동시에 개봉할 예정이다 신은 죽지 않았다 포스터 사진 전남 이시각 기자와 카톡 채팅하기 영상 구독하기 저작권자 무단전재 및 재배포 금지 "
"35"," 호 태풍 쁘라삐룬 북상 사진 기상청 홈페이지 캡처 정부는 오늘 일 일본 오키나와 남남동쪽에서 발생한 제 호 태풍 쁘라삐룬의 한반도 북상 가능성에 따라 긴급대책회의를 열고 태풍 대처 상황을 점검합니다 김부겸 행정안전부 장관은 오늘 일 오후 시부터 정부서울청사 중앙재난안전상황실에서 부처 담당 실 국장과 시 도 부단체장이 참석한 가운데 태풍 대비 긴급대책회의를 주재한다고 밝혔습니다 회의에서는 기상청이 태풍 예상 진로를 발표한 이후 밀물 때 태풍의 영향을 받는 해안가 피해대비 대책과 침수 피해 방지 대책과 산사태 방지 대책 등을 점검할 예정입니다 기상청에 따르면 오늘 일 오전 시 일본 오키나와 남남동쪽 약 부근 해상에서 태풍이 발생해 북상 중입니다 이 태풍은 다음달 일 오전 시 서귀포 서남서 쪽 약 부근 해상으로 접근한 뒤 오후 시에는 서산 남쪽 약 부근 육상까지 북상할 것으로 관측됩니다 한편 쁘라삐룬 은 태국에서 제출한 이름으로 비의 신 을 뜻합니다 팀 무단전재 및 재배포 금지 "
"36"," 그룹 의 우영이 다음 달 입대합니다 소속사 측은 입대 날짜는 맞지만 우영이 조용히 입대하기를 원해 입소 장소를 공개하지 않을 예정이라고 말했습니다 우영의 입대는 그룹 차원에서는 택연 준케이 등에 이어 세 번째입니다 지난 년 으로 데뷔한 우영은 올해 데뷔 년을 맞았으며 년부터는 그룹 활동과 별개로 솔로 활동도 병행해 국내를 비롯해 아시아권에서 인기를 얻었습니다 시간 실시간 뉴스 생방송 보기 러시아 월드컵 기사모음 저작권자 무단전재 및 재배포 금지 "
"37"," 지독한 악취를 풍겨 여객기를 비상 착륙하게 한 남성이 피부 괴사로 사망했다 사진 헬스조선 심한 악취로 여객기를 비상 착륙하게 한 남성 승객이 피부 괴사로 사망했다 당시 주변 승객들은 해당 남성에게서 씻지 않은 지독한 냄새가 났다 고 했다 해당 남성은 러시아 기타리스트인 안드레이 수칠린 으로 밝혀졌다 네덜란드 신문 데 텔레그라프에 따르면 월 일 스페인 그란카나리아섬을 출발해 암스테르담으로 향하던 네덜란드의 항공 트랜스비아의 보잉 기가 비행 중 긴급 회항해 포르투갈에 비상 착륙했다 수칠린의 지독한 악취로 승객들의 항의가 이어졌기 때문이다 주변 승객들은 이 남성에게서 지독한 악취가 난다며 승무원에게 항의했다 몇몇 승객은 구토하거나 기절하는 상황까지 발생했다 승객들은 정말 참을 수 없는 냄새가 났다 몇 주 동안 몸을 안 씻은 냄새였다 고 말했다 승무원들은 수칠린을 화장실에 격리 조치했지만 결국 비행기는 회항해 비상 착륙했다 트랜스비아 항공 측은 당시 의료적 이유 로 비상 착륙했다고 설명했다 실제로 수칠린이 악취를 풍긴 것은 위생 문제가 아니라 감염에 의한 피부 괴사 때문이었던 것으로 밝혀졌다 수칠린은 그란카나리아섬을 여행하던 중 괴사가 생겼다고 알려졌다 수칠린의 부인은 자신의 에 남편이 스페인을 떠나기 전 병원을 찾았지만 일반적인 해변 감염 이라며 항생제만 처방했다고 밀했다 수칠린은 치료를 위해 병원으로 이송됐지만 결국 월 일 사망했다 김수진 헬스조선 기자정선유 헬스조선 인턴기자 국내 최고 명의 명은 누구일까 대표 건강 사이트 헬스조선닷컴 바로가기"
"38"," 오영식 사장 내달 채용조건 인원 협의 해법마련 주목오영식 코레일 사장 사진 가운데 코레일 제공 세종 뉴스 김희준 기자 한국철도공사 코레일 가 고속철도 해고 승무원을 승무원이 아닌 다른 보직으로 특별채용하는 방안을 추진 중이다 일 정부와 코레일 등에 따르면 오영식 코레일 사장은 다음 달부터 전국철도노조 열차승무지부 등과 만나 해고 승무원의 채용 조건과 인원 등을 협의할 계획이다 실무협상은 사실상 오늘부터 시작된다 코레일은 앞서 년 해고된 승무원에 대해 일반 사무직이나 영업직 등으로 특별채용하는 방안을 제시했다 년 대법원 판결에서 해고 승무원들을 코레일 본사가 승무원으로 직접 고용할 의무가 없다고 한 만큼 이들을 코레일 본사의 다른 직책으로 우회채용하는 방식을 제안한 것이다 다만 해고 승무원 명 중 몇 명을 채용할지는 추후 협상 과정에서 결정된다 이와 관련 철도노조 측은 투쟁과정에서 자살한 해고 승무원 유가족 등에게 사과와 보상도 요구하고 있는 것으로 알려졌다 한편 코레일은 년 코레일 유관단체인 홍익회 소속의 기간제 근로자였던 승무원들이 코레일에 직접고용을 요구하자 명을 해고한 바 있다 이에 해고 승무원 중 명이 년 근로자 지위보전 및 임금지급 소송을 제기하면서 갈등은 법원으로 옮겨갔다 년간 이어진 법정 다툼 끝에 년 대법원은 코레일과 승무원 사이 직접 근로관계가 있다고 보기 어렵다 며 코레일의 손을 들어줬다 이를 비관한 한 해고 승무원은 스스로 목숨을 끊기도 했다 하지만 최근 양승태 전 대법원장이 승무원 판결 등을 상고법원 도입을 위한 거래 수단으로 삼으려 했다는 주장이 제기되면서 해고승무원 문제가 다시 불거졌다 이에 오영식 사장은 이달 초 대 종교 관계자로 구성된 대책위를 만나 특별 채용 방안을 제시하며 문제 해결에 나선 상태다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"39"," 헤럴드경제 이윤미 기자 지난 일 타계한 김종필 전 총리가 구술한 마지막 유작 남아 있는 그대들에게 스노우폭스북스 가 출간됐다 이 책은 김 전 총리의 공보수석비서관인 이덕주 씨가 년전부터 몸이 불편한 김 전 총리의 구술을 직접 받아 정리했다 이 씨는 년 불의에 찾아온 뇌경색으로 오른손이 불편했던 저자를 도와 저서의 기획 주제의 선정 구술의 정리 초고 읽어 드리기 보완과 퇴고 등 일련의 작업을 해 왔다 저자와 출판사의 인터뷰도 진행했다 이 씨는 지난 년간 김 전 총리를 측근에서 모시면서 김 전 총리의 생각과 속마음을 누구보다 가까이에서 읽은 고스트라이터라 할 만하다 는 만년에 항상 나라 걱정 정치 걱정 세대 걱정을 많이 한 것으로 전한다 특히 의욕을 잃고 방황하는 이 시대의 청년들 혼탁한 정치판에 휩싸인 젊은 정치인들에게 애정과 함께 용기와 지혜를 주는 메시지를 보내고자 했다 피히테의 독일 국민에게 고함 과 같은 호소의 심경으로 이 구술 저작을 시작했다고 한다 이번 유고는 칼럼 서문당 을 비롯 화보집 운정 김종필 중앙일보 김종필 증언록 와이즈베리 에 이어 네번째 저서다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"40"," 금연 후 단것 찾기에 체중 증가하는 것흡연자라면 대부분 금연을 고민한다 하지만 상당수가 금연에 실패했다고 포기하는 것이 현실이다 스트레스 술자리 등도 흡연을 부추긴다 최근 몸에 덜 해롭다 고 알려져 왔던 궐련형 전자담배에서도 발암물질이 검출됐다는 보건당국의 분석 결과가 나오면서 흡연자의 고민은 더 커지고 있다 하지만 흡연은 비만 등 만성 질환보다 건강에 더 해가 되므로 고민하고 있다면 금연해야 한다 금연 후 몸이 정상화되기까지 걸리는 시간은 담배를 얼마나 오래 많이 피웠는지에 따라 다르다 담배를 하루만 끊어도 숨쉬기가 편해지고 사흘 내리 안 피우면 기관지 기능이 회복된다 금연을 주 하면 폐 기능이 회복되고 개월 하면 면역력 폐 섬모 기능이 정상화되고 기침 코 막힘 피로 등이 감소한다 각각 년ㆍ 년 금연하면 심장 질환ㆍ폐암으로 사망할 위험이 비흡연자 수준과 근접하게 줄어든다 금연하면 금단 증상은 얼마나 지속되나 대개 금연 후 시간 이내 발생 일째 최고조에 다다른다 관련 스트레스는 약 주까지 지속된다 이 시기를 잘 견디면 금단 증상은 거의 사라지게 된다 금연에 실패하는 이유는 한 국내 연구에 따르면 흡연자 중 금단 증상이 심해 실패한 사례는 에 그친 반면 스트레스 습관 등으로 실패한 사례는 나 됐다 실패 원인은 혼자 하기 때문 이라고 본다 금연 시 의지를 다지기 위해 주변 사람에게 알려야 한다 의사의 도움을 받는 것도 권한다 개인 의지만으로 금연에 성공할 확률은 지만 의사와 함께하면 까지 확률이 늘어난다 금연하면 살이 찐다고 걱정하는 사람도 있다 금연하면 입이 허전해지니 껌 과자 초콜릿 등 단것을 찾게 되는 사례가 다반사다 금연 후 살이 찌는 사람이 많은 이유다 하지만 체중 증가는 금연이 아니라 칼로리가 높고 단것을 찾는 습관 때문이다 흡연이 체중 증가보다 건강에 더 악영향을 끼친다는 사실을 명심했으면 한다 신상윤 기자 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"41"," 해양수산부 제공 서울 조성흠 기자 해양수산부는 일 해양생물자원관 제 대 관장에 황선도 전 수산자원관리공단 서해본부 생태복원실장을 임명했다고 밝혔다 신임 황 관장은 년 국립수산과학원을 통해 공직에 입문했고 년 수산자원관리공단으로 자리를 옮겨 자원조성 기획 대외협력 및 생태계 복원 등 주요 보직을 역임했다 어류생태학 박사로서 물고기를 찾아가는 강화여행 등 권의 저서를 출간한 해양생물자원 복원 전문가로 각종 매체 기고와 자문 등을 통해 해양생물자원의 중요성을 알리는 데 기여했다 해수부는 신임 황 관장이 풍부한 경험과 전문성을 바탕으로 국가 간 해양 생명자원 확보경쟁에 적절히 대응하고 컨트롤타워로 해양생물자원관의 위상을 강화하는 데 큰 역할을 할 것으로 기대한다 고 밝혔다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"42"," 일본 오키나와 남남동쪽 먼 해상에서 발생한 호 태풍 쁘라삐룬 이 다음 주 월요일쯤 서해안으로 북상할 것으로 예상돼 피해가 우려됩니다 기상청은 오늘 일 오전 시쯤 일본 오키나와 남남동쪽 부근 해상에서 북상 중인 열대저압부가 태풍으로 강화됐다고 밝혔습니다 시 현재 중심기압 헥토파스칼 중심에서는 초속 시속 의 강풍을 동반한 태풍 쁘라삐룬은 강풍반경이 인 약한 소형 태풍입니다 태풍은 북상하면서 점차 발달해 일본 오키나와 남쪽 해상까지 북상하는 일 밤 시쯤에는 중심 풍속이 초속 까지 강해지는 강도 중급의 소형 태풍으로 발달할 전망입니다 기상청은 그러나 태풍이 제주도 서귀포 서남서쪽 부근 해상까지 북상하는 오는 일 오전 시쯤에는 다시 약한 소형으로 세력이 약해질 것으로 내다봤습니다 일 오전 제주도 서쪽을 스쳐 지날 것으로 예상되는 태풍 쁘라삐룬은 계속해서 서해안을 따라 북상해 일 밤 시쯤에는 충남 서산 남쪽 부근 육상에서 소멸할 것으로 전망했습니다 기상청은 태풍이 한반도로 접근하면서 세력이 크게 약해지고 소멸할 가능성도 있지만 태풍이 지나는 동안 전국적으로 강한 비바람이 예상된다면서 피해가 없도록 철저한 대비를 당부했습니다 쁘라삐룬 은 태국에서 제출한 이름으로 비의 신 의 뜻합니다 사진 기상청 제공 안영인 기자 박지성과 다시 뜨겁게 러시아월드컵 최신 경기 하이라이트 영상 보러가기 김동식 포럼 김동식 작가 신작 단독 연재 바로 가기 무단복제 및 재배포 금지 "
"43"," 정부는 일 일본 오키나와 남남동쪽에서 발생한 제 호 태풍 쁘라삐룬의 한반도 북상 가능성에 따라 긴급대책회의를 열고 태풍 대처 상황을 점검합니다 김부겸 행정안전부 장관은 이날 오후 시부터 정부서울청사 중앙재난안전상황실에서 부처 담당 실 국장과 시 도 부단체장이 참석한 가운데 태풍 대비 긴급대책회의를 주재합니다 회의에서는 기상청이 태풍 예상 진로를 발표한 이후 밀물 때 태풍의 영향을 받는 해안가 피해대비 대책과 침수 피해 방지 대책 산사태 방지 대책 등을 점검합니다 기상청에 따르면 일 오전 시 일본 오키나와 남남동쪽 약 부근 해상에서 태풍이 발생해 북상 중입니다 이 태풍은 다음달 일 오전 시 서귀포 서남서 쪽 약 부근 해상으로 접근한 뒤 오후 시에는 서산 남쪽 약 부근 육상까지 북상할 것으로 보입니다 쁘라삐룬 은 태국에서 제출한 이름으로 비의 신 을 뜻합니다 조민성 기자 박지성과 다시 뜨겁게 러시아월드컵 최신 경기 하이라이트 영상 보러가기 김동식 포럼 김동식 작가 신작 단독 연재 바로 가기 무단복제 및 재배포 금지 "
"44"," 국가민속문화재 제 호 동궁비 원삼 사진제공 문화재청 서울경제 순종이 대한제국 황태자 시절이던 년 혼인할 때 황태자비가 입었던 것으로 추정되는 복식이 여년 만에 제 모습을 찾았다 국립문화재연구소 문화재보존과학센터는 순종의 두 번째 부인 순정효황후 가 착용한 결혼 예복으로 알려진 동궁비 원삼 을 비롯해 세종대가 소장한 조선왕실 여성 복식 유물 점에 대한 보존처리를 완료했다고 일 밝혔다 동궁비 원삼은 국가민속문화재 제 호로 곱고 얇은 직물이 크게 약해진 상태였다 원삼 圓衫 은 양반가 여성 예복을 뜻한다 보존센터는 보존처리 과정에서 폭 에 이르는 무거운 옷을 꺼내고 넣을 때 발생하는 구김을 방지하기 위해 별도로 충전재를 제작해 활용했다고 설명했다 국가민속문화재 제 호 전 傳 왕비 당의 사진제공 문화재청이번에 보존처리를 마친 다른 유물인 전 傳 왕비 당의 국가민속문화재 제 호 도 순정효황후가 소유했던 옷이다 당의 唐衣 는 사대부 여인이 저고리 위에 입은 예복으로 이 옷은 당의 두 벌을 끼워 만들었다 동궁비 원삼과 전 왕비 당의는 금실로 봉황 문양을 만든 직물을 사용하고 발톱 개가 달린 용 문양이 가슴 등 양쪽 어깨에 있는 점이 특징이다 이번 보존처리가 완료된 유물은 지난 일 세종대학교박물관으로 인계하였다 문화재보존과학센터는 보존처리 전 과정과 새롭게 밝혀낸 분석 결과를 내년도에 발간할 보존처리 연구보고서 를 통해 공개할 예정이다 김현진기자 서울경제 바로가기 이제 주식시세도 서울경제에서 확인하세요 바로가기 블록체인의 모든 것 서울경제 바로가기 저작권자 서울경제 무단 전재 및 재배포 금지 "
"45"," 스마트시티 건설자동화 등 집중 육성 생활밀착형 기술도 개발국토교통부 제공 세종 뉴스 김희준 기자 정부가 자율주행차 등 국토교통분야 미래혁신기술 개발에 년 동안 조 억원을 투자한다 국토교통부는 일 제 차 국가과학기술자문회의에서 이 같은 내용의 제 차 국토교통과학기술 연구개발 종합계획을 확정했다고 밝혔다 국토교통과학기술 계획은 국토교통 과학기술에 관한 종합적 정책방향을 제시하고 중장기 투자전략을 정하는 최상위 법정계획이다 계획안에 따르면 국토부는 차 산업혁명에 선제적으로 대응하기 위해 국가의 혁신성장 대 선도사업 중 스마트시티 자율차 드론과 그 기반기술이 되는 공간정보 분야를 집중 육성한다 특히 Δ 기반 차량 Δ인프라 연계 Δ인공지능 교통 제어 Δ유무인기 통합 교통관리 등을 통해 자동차 드론의 완전 자율 주행 시대를 연다 건설 교통 물류 등 국토교통 산업도 차원 건물정보모델링 기술 등 첨단기술을 더해 새로운 부가가치를 창출한다 하이퍼루프 초고속철도 고정밀 항행안전시설 개발은 물론 지능형 자동화물 운송시스템을 통해 기존 수송 체계를 혁신도 꾀한다 재난 재해 예방 등 국민이 체감할 수 있는 생활밀착형 기술 개발과 지원체계 강화도 추진한다 이밖에 국토교통 대 혁신성장 동력으로 Δ스마트시티 Δ자율주행차 Δ드론 무인기 Δ건설자동화 Δ제로에너지건축 Δ가상국토공간 Δ스마트물류 Δ지능형철도를 선정해 차세대 프로젝트로 집중 지원한다 국토부는 이 같은 추진을 위해 향후 년간 조 억원 민간투자 포함 을 투자하고 국토교통 예산 규모도 년까지 연간 조원 수준으로 배가량 늘릴 계획이다 국토부 관계자는 이번 투자와 계획안이 실행되면 혁신성장동력국가 경쟁력 세계 위 선진국 대비 기술 수준 재난 재해 피해 등 사회적 비용 감축 등을 달성할 수 있을 것 이라고 내다봤다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"46"," 날씨 장마 소강 오후 내륙 요란한 소나기 오늘은 장맛비 대신 소나기에 대비하셔야겠습니다 오후에는 대기가 불안정해지면서 강원과 남부 내륙으로 소나기가 지나겠는데요 양은 가량이 되겠고요 벼락과 돌풍을 동반해 요란하게 쏟아지거나 우박이 떨어질 가능성도 있어 조심하셔야 하겠습니다 한편 장마전선은 제주 남쪽해상으로 물러나 있으면서 남해안은 비가 모두 그쳤고요 제주도로만 약하게 비가 내리고 있습니다 다만 오늘 오후부터는 장마전선이 다시 활성화되면서 제주도에 장맛비가 시작되겠고요 내일은 내륙으로도 북상하겠습니다 이번에도 강한 비구름을 몰고 오면서 많은 비를 퍼부을 것으로 보여 대비를 해 주셔야 하겠습니다 비가 집중되는 시점과 지역은 당장 내일은 충청도와 남부지방에 일요일에는 중부와 서해안을 중심으로 폭우가 쏟아지겠고요 월요일에는 전국적으로 많은 양의 비가 예상됩니다 오늘 전국 하늘 흐린 가운데 오후부터 내륙 곳곳으로는 소나기가 내리겠고요 제주도에는 장맛비가 내리겠습니다 바람도 강하게 불 것으로 보여 조심하셔야겠습니다 오늘 낮 기온 서울 도 춘천 도 대구 도로 내륙 곳곳으로 도 안팎까지 오르면서 후텁지근한 날씨가 예상됩니다 다음 주에도 장마전선의 영향을 받으면서 비가 오는 날들이 많겠습니다 날씨 전해드렸습니다 한유진 기상캐스터 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"47"," 사진 기상청 홈페이지 서울경제 제 호 태풍 쁘라삐룬이 북상 중이다 일 정부는 일본 오키나와 남남동쪽에서 발생한 제 호 태풍 쁘라삐룬의 한반도 북상 가능성에 따라 긴급대책회의를 연다 쁘라삐룬은 태국에서 제출한 이름으로 비의 신 을 뜻한다 기상청에 따르면 이날 오전 시 일본 오키나와 남남동쪽 약 부근 해상에서 태풍이 발생해 북상 중이다 이 태풍은 월 일 오전 시 서귀포 서남서 쪽 약 부근 해상으로 접근한 뒤 오후 시 서산 남쪽 약 부근 육상까지 북상할 것으로 보인다 이날 정부서울청사 중앙재난안전상황실에서는 오후 시부터 김부겸 행정안전부 장관의 주재로 태풍 대비 긴급대책회의가 열릴 예정이며 회의에서는 해안가 피해대비 대책과 침수 피해 방지 대책 산사태 방지 대책 등이 논의될 예정이다 정진수기자 서울경제 바로가기 이제 주식시세도 서울경제에서 확인하세요 바로가기 블록체인의 모든 것 서울경제 바로가기 저작권자 서울경제 무단 전재 및 재배포 금지 "
"48"," 함양 일 경남 함양군 마천면 지리산 자락에서 나뭇가지 사이로 둥지를 튼 여름 철새 꾀꼬리가 어린 새끼들에게 먹이를 나르고 있다 와일드지리산 영상 콘텐츠 연구소 제공 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"49"," 디지털타임스 김양혁 기자 르노삼성자동차는 동반성장위원회가 발표한 년 동반성장지수 평가 결과 에서 년 연속 우수 등급을 달성했다고 일 밝혔다 동반성장지수는 공정거래위원회의 공정거래협약 이행평가와 동반성장위원회의 중소기업 체감도 평가를 합산 산정해 동반위가 년부터 매년 발표하고 있다 르노삼성은 공정거래협약 이행을 위해 하도급 거래 공정화 교육과 차 협력 업체까지 상생결제시스템 확대 동반성장 아카데미 등의 상생 문화 확산 활동을 실시하고 있다 이 중 상생결제시스템은 중소기업이 대기업의 신용도를 활용해 은행을 통해 금융지원을 받는 제도로 중소기업 입장에서는 금융비용도 줄이고 납품대금도 조기에 받을 수 있어 경영 안정에 혜택이 되는 시스템이라고 회사 측은 설명했다 실제 작년 르노삼성으로부터 발생한 협력사 매출은 조 억원으로 전년보다 늘었다 황갑식 르노삼성 구매본부장 전무는 르노삼성만의 높은 품질력은 협력업체의 기술 부품 경쟁력뿐만 아니라 지속성장 재무 건전성 세계 경쟁력의 결과 라며 앞으로도 소비자들이 만족하는 제품 생산과 모든 협력업체의 경쟁력 강화를 위해 더욱 동반성장에 앞장설 것 이라고 말했다 김양혁기자 르노삼성자동차 부산공장 전경 디지털타임스 홈페이지 바로가기 디지털타임스 뉴스 더보기네이버 채널에서 디지털타임스 를 구독해주세요 "
"50"," 디지털타임스 김양혁 기자 캐딜락은 서울 이촌동에 전시장을 개장하고 강북 지역 판매와 서비스 강화에 나선다고 일 밝혔다 동행모터스가 맡아 운영하며 전시장은 총면적 로 구성한다 이는 브랜드 내 단일 전시장으로는 서울권역 최대 규모라고 회사 측은 설명했다 캐딜락은 전시장 개장에 이어 오는 월 중 인근 지역에 서비스센터도 개장한다는 계획이다 김영식 코리아 캐딜락 총괄 사장은 캐딜락의 아메리칸 럭셔리를 공감하고 성원해 주시는 소비자들이 늘어나면서 공식 전시장을 마련하게 됐다 며 차별화된 서비스를 더 쉽게 경험할 수 있도록 접근성과 편의성을 높인 네트워크 확보와 질적 향상에 박차를 가할 것 이라고 말했다 김양혁기자 캐딜락 용산전시장 전경 디지털타임스 홈페이지 바로가기 디지털타임스 뉴스 더보기네이버 채널에서 디지털타임스 를 구독해주세요 "
"51"," 디지털타임스 김양혁 기자 티웨이항공은 지난 일과 일 두 차례에 걸쳐 신임 객실사무장 명을 대상으로 긍정감정계발 프로그램 을 진행했다고 일 밝혔다 이번 교육은 대표적인 서비스 업종이자 감정 노동자에 해당하는 승무원을 위한 티웨이항공의 특별 프로그램이다 객실을 책임지는 사무장이란 막중한 위치인 만큼 이들 개인의 행복과 승객 안전을 위해 선행해야 할 중요한 교육이기도 하다 강단에는 마음치유학교 의 김완수 강사가 섰다 강의는 긍정적인 생각의 전환과 감정을 다스릴 수 있는 능력 승객은 물론 동료와 효과적인 의사소통 능력 방법을 위한 사례 중심의 조별 활동으로 진행됐다 김양혁기자 티웨이항공 항공기 디지털타임스 홈페이지 바로가기 디지털타임스 뉴스 더보기네이버 채널에서 디지털타임스 를 구독해주세요 "
