,care3,care1,care2
전라남도 진도군,33,전라남도,진도군
부산광역시 수영구,9,부산광역시,수영구
전라남도 장흥군,8,전라남도,장흥군
제주특별자치도 제주시,8,제주특별자치도,제주시
강원도 횡성군,2,강원도,횡성군
인천광역시 연수구,1,인천광역시,연수구
경기도 시흥시,1,경기도,시흥시
충청북도 청원군,1,충청북도,청원군
경기도 김포시,1,경기도,김포시
care1,"Index(['경기도 양주시', '부산광역시 강서구', '대전광역시 유성구', '광주광역시 북구', '경기도 안산시', '인천광역시 계양구',
       '부산광역시 해운대구', '경기도 평택시', '대구광역시 동구', '경상남도 창원시',
       ...
       '부산광역시 수영구', '전라남도 장흥군', '제주특별자치도 제주시', '강원도 횡성군', '인천광역시 연수구',
       '경기도 시흥시', '충청북도 청원군', '경기도 김포시', 'care1', 'care2'],
      dtype='object', length=168)",care1,
care2,"Index(['경기도', '부산광역시', '대전광역시', '광주광역시', '경기도', '인천광역시', '부산광역시', '경기도',
       '대구광역시', '경상남도',
       ...
       '경기도', '전라남도', '부산광역시', '전라남도', '제주특별자치도', '강원도', '인천광역시', '경기도',
       '충청북도', '경기도'],
      dtype='object', length=166)",care2,
