시군명,사업장명,인허가일자,영업상태명,폐업일자,축산업무구분명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
동두천시,수퍼피,20151204,폐업 등,20160325,동물판매업,경기도 동두천시 송내동 695-2번지,"경기도 동두천시 동두천로 13 (송내동, 우진프라자)",11354,37.8827199458,127.0538973008
동두천시,펫샵,20080414,폐업 등,20140108,동물판매업,경기도 동두천시 보산동 418-10번지,경기도 동두천시 평화로 2557 (보산동),11311,37.9160170132,127.0569566577
동두천시,퍼피룰루,20140106,폐업 등,20140320,동물판매업,경기도 동두천시 생연동 433-1번지,경기도 동두천시 장고갯로 98 (생연동),11318,37.9037432662,127.0632923037
동두천시,뉴현대애견,20130708,폐업 등,20130708,동물판매업,경기도 동두천시 생연동 557-41번지,경기도 동두천시 중앙로 328 (생연동),11325,37.9105760809,127.0554516577
부천시,하이롤러 코리아,20170607,운영중,,동물판매업,경기도 부천시 상동 546-2번지 두성프라자 203호,"경기도 부천시 소향로 17, 203호 (상동, 두성프라자)",14544,37.5039828090,126.7496307436
부천시,혜인펫,20170724,운영중,,동물판매업,경기도 부천시 괴안동 40-2번지 리아아파트 108호,"경기도 부천시 범안로 10, 108호 (괴안동, 리아아파트)",14696,37.4804563139,126.8054931364
부천시,스타일 독,20170609,운영중,,동물판매업,경기도 부천시 상동 546-3번지,"경기도 부천시 소향로13번길 14-16 (상동, 대맥프라자)",14544,37.5039563853,126.7499135670
부천시,라이프 독,20151210,운영중,,동물판매업,경기도 부천시 역곡동 81-8번지,경기도 부천시 부일로 742 (역곡동),14674,37.4858192091,126.8121838687
부천시,망고캣,20180412,운영중,,동물판매업,경기도 부천시 심곡본동 562-22번지,경기도 부천시 하우로 290 (심곡본동),14756,37.4794880409,126.7827147198
부천시,멍스타,20180528,운영중,,동물판매업,경기도 부천시 중동 799번지 황금빌딩,"경기도 부천시 부일로 350, 황금빌딩 3층 301,303호 (중동)",14626,37.4875973689,126.7688512687
부천시,베이비몽 부천점,20180111,운영중,,동물판매업,경기도 부천시 상동 545-20번지 테마파크,"경기도 부천시 소향로13번길 20, 테마파크 105호 (상동)",14544,37.5045139285,126.7494140700
부천시,해피하개,20180618,운영중,,동물판매업,경기도 부천시 중동 1161-3번지 일신빌딩,"경기도 부천시 소향로 131, 일신빌딩 1층 113호 (중동)",14546,37.5023424626,126.7623025054
부천시,더독스 애견분양,20150730,운영중,,동물판매업,경기도 부천시 상동 400-1번지,경기도 부천시 상일로 86 (상동),14598,37.4912301224,126.7521388290
부천시,꼬꼬마강아지,20160406,운영중,,동물판매업,경기도 부천시 상동 605-4번지,경기도 부천시 상이로21번길 26-7 (상동),14593,37.4908759687,126.7425287267
부천시,아담스펫살롱,20180129,운영중,,동물판매업,경기도 부천시 삼정동 337-1번지,"경기도 부천시 평천로 734, 2층 (삼정동)",14516,37.5148948954,126.7721593628
부천시,하이주리테일,20180404,운영중,,동물판매업,경기도 부천시 상동 535-5번지 세이브존백화점,"경기도 부천시 길주로 105, 세이브존백화점 4층 (상동)",14542,37.5063161724,126.7537735306
부천시,미스멍 2호점,20150623,운영중,,동물판매업,경기도 부천시 괴안동 254-1번지,경기도 부천시 소사동로 170 (괴안동),14781,37.4773768503,126.8121601013
부천시,와이앤케이 커머스(주),20150706,운영중,,동물판매업,경기도 부천시 상동 533-1번지,경기도 부천시 상동로117번길 61 (상동),14543,37.5077047429,126.7500253284
부천시,패밀리와와,20170914,운영중,,동물판매업,경기도 부천시 소사본동 220-54번지,경기도 부천시 은성로68번길 65 (소사본동),14767,37.4722091224,126.7983816267
부천시,소풍쿨펫 동물병원,20100607,운영중,,동물판매업,경기도 부천시 상동 539-1 번지 부천터미널 지하1층 26호,경기도 부천시 송내대로 239,14545,37.5040335307,126.7565745320
부천시,애견천사,20101223,운영중,,동물판매업,경기도 부천시 심곡동 131-19번지,경기도 부천시,14639,37.4858427781,126.7891069407
부천시,강아지사랑,20110125,운영중,,동물판매업,경기도 부천시 심곡본동 723-5번지,경기도 부천시 성주로 238,14750,37.4794861194,126.7816859080
부천시,강사모백화점 애견분양(개아범),20150507,운영중,,동물판매업,경기도 부천시 소사본동 230-18번지,경기도 부천시 소사로 140 (소사본동),14769,37.4706824724,126.7961023044
부천시,미래애견,20160610,운영중,,동물판매업,경기도 부천시 상동 236-36번지,경기도 부천시 장말로 214 (상동),14618,37.4924021897,126.7656022960
부천시,24시 애견미용,20160909,운영중,,동물판매업,경기도 부천시 심곡본동 784-5번지 202호,경기도 부천시 경인로 292-1 (심곡본동),14753,37.4823718360,126.7879409930
부천시,물고기나라,20180705,운영중,,동물판매업,경기도 부천시 심곡본동 543-10번지,경기도 부천시 자유로 35-4 (심곡본동),14709,37.4837088703,126.7801358000
부천시,하나애견,20180705,운영중,,동물판매업,경기도 부천시 원미동 96-1번지 백송연립,"경기도 부천시 원미로 129, E동 2호 (원미동, 백송연립)",14568,37.4940716975,126.7906892087
부천시,도연애견샵,20180705,운영중,,동물판매업,경기도 부천시 원미동 184-91번지,"경기도 부천시 조종로 64-1, 2층 (원미동)",14646,37.4923436845,126.7917457064
부천시,도그딜라잇,20180705,운영중,,동물판매업,경기도 부천시 원종동 154-4번지 새벽별교회,"경기도 부천시 소사로 807, 새벽별교회 1층 (원종동)",14426,37.5280900265,126.8044852753
부천시,Boong's Home,20150410,운영중,,동물판매업,경기도 부천시 중동 1116번지 리첸시아,경기도 부천시 옥산로 7 (중동),14574,37.4950149669,126.7794124367
부천시,도그킹덤,20160506,운영중,,동물판매업,경기도 부천시 중동 1145-2번지 114호,"경기도 부천시 중동로248번길 52 (중동, 네이버시티빌딩)",14548,37.5011176241,126.7715797692
부천시,고양이,20160517,운영중,,동물판매업,경기도 부천시 심곡동 155-9번지 2층,"경기도 부천시 부흥로 410, 2층 (심곡동)",14638,37.4892062480,126.7856825962
부천시,캣츠하우스,20160816,운영중,,동물판매업,경기도 부천시 원미동 109-10번지 2층,경기도 부천시 조종로 19 (원미동),14569,37.4932899422,126.7868807024
부천시,개님을부탁해,20150817,운영중,,동물판매업,경기도 부천시 심곡동 131-19번지,경기도 부천시 원미로 35-1 (심곡동),14639,37.4858427781,126.7891069407
부천시,필독,20160510,운영중,,동물판매업,경기도 부천시 괴안동 110-30번지,경기도 부천시 경인로484번길 12 (괴안동),14682,37.4826522105,126.8094106003
부천시,미래,20160725,운영중,,동물판매업,경기도 부천시 중동 719-8번지,경기도 부천시 중동로 163-1 (중동),14605,37.4943960648,126.7669416320
부천시,탑애견사(소사본점),20160727,운영중,,동물판매업,경기도 부천시 소사본동 153-30번지 501호,"경기도 부천시 소사로 210-1, 501호 (소사본동)",14702,37.4768986591,126.7957121038
부천시,Multi pet,20170215,운영중,,동물판매업,경기도 부천시 심곡동 356-7번지 기성뷰그리안아파트,"경기도 부천시 장말로362번길 7, 204호 (심곡동, 기성뷰그리안아파트)",14633,37.4898488014,126.7823564047
부천시,애견미용실,20180712,운영중,,동물판매업,경기도 부천시 원미동 96-1번지 백송연립,"경기도 부천시 원미로 129, E동 2호 (원미동, 백송연립)",14568,37.4940716975,126.7906892087
부천시,멋지개 예쁘개,20180712,운영중,,동물판매업,경기도 부천시 원종동 131-4번지,"경기도 부천시 원종로29번길 83, 1층 12호 (원종동)",14428,37.5272842519,126.8021795777
부천시,팅커벨,20180508,운영중,,동물판매업,경기도 부천시 중동 1152-1번지 루미아트 클래식,"경기도 부천시 소향로 195, 루미아트 클래식 110호 (중동)",14548,37.5014016234,126.7693849496
부천시,24시비엔동물의료센터,20180723,운영중,,동물판매업,경기도 부천시 괴안동 111-46번지 정인빌딩,"경기도 부천시 경인로 475, 정인빌딩 (괴안동)",14675,37.4830648839,126.8083241381
부천시,우드앤도그,20180604,운영중,,동물판매업,경기도 부천시 오정동 546번지,"경기도 부천시 오정로252번길 38, 2층 (오정동)",14436,37.5291428601,126.7882707009
부천시,펫스토리,20180511,운영중,,동물판매업,경기도 부천시 원종동 266-1번지,"경기도 부천시 소사로794번길 21, 1층 (원종동)",14419,37.5273715689,126.8058786664
부천시,돌리샵,20180601,운영중,,동물판매업,경기도 부천시 중동 1146-2번지,"경기도 부천시 중동로254번길 50, 101호 (중동)",14548,37.5018472009,126.7714644282
부천시,저스트독,20180319,운영중,,동물판매업,경기도 부천시 상동 538-6번지 대신스카이빌,"경기도 부천시 길주로 129, 대신스카이빌 102호 (상동)",14542,37.5060071808,126.7568055513
부천시,혀니펫,20180514,운영중,,동물판매업,경기도 부천시 원미동 109-17번지,경기도 부천시 조종로 13 (원미동),14569,37.4933700582,126.7863490061
부천시,커멍커멍애견미용실,20180514,운영중,,동물판매업,경기도 부천시 상동 538-4번지 상록그린힐빌딩,"경기도 부천시 길주로 137, 상록그린힐빌딩 704호 (상동)",14542,37.5060088978,126.7576311523
부천시,이마트중동점,20180410,운영중,,동물판매업,경기도 부천시 중동 1157번지 이마트,"경기도 부천시 석천로 188, 이마트 (중동)",14547,37.5039855374,126.7639144741
부천시,제일애견,20180420,운영중,,동물판매업,경기도 부천시 원종동 238-1번지,경기도 부천시 소사로794번길 67 (원종동),14419,37.5280332446,126.8082639722
부천시,도그피아,20180420,운영중,,동물판매업,경기도 부천시 송내동 609-10번지,경기도 부천시 성주로 125-1 (송내동),14734,37.4796265474,126.7703571763
부천시,강아지나라,20180420,운영중,,동물판매업,경기도 부천시 역곡동 85-7번지 칠성빌라,"경기도 부천시 지봉로 114, 칠성빌라 (역곡동)",14670,37.4881789627,126.8116577483
부천시,아이러브펫츠 애견,20150518,운영중,,동물판매업,경기도 부천시 상동 565-5번지,경기도 부천시 조마루로105번길 34-11 (상동),14589,37.5015917451,126.7565260080
부천시,아지공간,20180420,운영중,,동물판매업,경기도 부천시 범박동 227-3번지,경기도 부천시 양지남로 55 (범박동),14783,37.4685746473,126.8124876748
부천시,굿독,20180420,운영중,,동물판매업,경기도 부천시 역곡동 46-1번지 은성아파트,"경기도 부천시 부일로685번길 13 (역곡동, 은성아파트)",14672,37.4846551752,126.8056290745
부천시,아인스펫,20180425,운영중,,동물판매업,경기도 부천시 중동 1113번지 위브더스테이트 상가동 127호,"경기도 부천시 신흥로 150, 위브더스테이트 상가동 127호 (중동)",14574,37.4976524988,126.7781606509
